Id,WnvPresent
1,0.0004930299129663064
2,0.0003937334848609093
3,0.00021262085595066777
4,0.00020699315411842295
5,0.00020699315411842295
6,0.00020699315411842295
7,0.00020699315411842295
8,0.00020699315411842295
9,0.00018015312276180312
10,0.0001964731510218643
11,0.00015428347077148878
12,9.826424146115666e-05
13,9.826424146115666e-05
14,9.826424146115666e-05
15,9.826424146115666e-05
16,9.826424146115666e-05
17,0.00021864246039743617
18,0.0002543299732974883
19,0.00016916633042825263
20,0.0001336972433682581
21,0.0001336972433682581
22,0.0001336972433682581
23,0.0001336972433682581
24,0.0001336972433682581
25,0.0001562241586791765
26,0.00021748999643520577
27,0.000198090026156604
28,0.00012561737785286487
29,0.00012561737785286487
30,0.00012561737785286487
31,0.00012561737785286487
32,0.00012561737785286487
33,4.468730138111784e-05
34,6.221487320356262e-05
35,6.183305657898826e-05
36,3.593156774530797e-05
37,3.593156774530797e-05
38,3.593156774530797e-05
39,3.593156774530797e-05
40,3.593156774530797e-05
41,6.502012666278616e-05
42,9.052206217048966e-05
43,8.996653816127817e-05
44,5.228072230089711e-05
45,5.228072230089711e-05
46,5.228072230089711e-05
47,5.228072230089711e-05
48,5.228072230089711e-05
49,0.00012250386057391447
50,0.00017054799216284356
51,0.0001789203853133857
52,9.850276803945582e-05
53,9.850276803945582e-05
54,9.850276803945582e-05
55,9.850276803945582e-05
56,9.850276803945582e-05
57,9.398040901788052e-05
58,0.00012425193969216376
59,0.00010624111109152818
60,5.774170605853605e-05
61,5.774170605853605e-05
62,5.774170605853605e-05
63,5.774170605853605e-05
64,5.774170605853605e-05
65,0.00018923481769418668
66,0.0002850619192634427
67,0.00025963614142265434
68,0.00016465011624609268
69,0.00016465011624609268
70,0.00016465011624609268
71,0.00016465011624609268
72,0.00016465011624609268
73,0.0002496946386874252
74,0.0002376796809493224
75,0.0002599557197051075
76,0.00012827934503213757
77,0.00012827934503213757
78,0.00012827934503213757
79,0.00012827934503213757
80,0.00012827934503213757
81,0.00013459761966359054
82,0.000586603581355342
83,0.00018623400535139938
84,0.00010822736087308813
85,0.00010822736087308813
86,0.00010822736087308813
87,0.00010822736087308813
88,0.00010822736087308813
89,0.00015760754821740153
90,0.00018893894979459195
91,0.00022011936104235116
92,0.0001267297738774406
93,0.0001267297738774406
94,0.0001267297738774406
95,0.0001267297738774406
96,0.0001267297738774406
97,0.00016747273889300597
98,0.00019065729898338474
99,0.00026829644551995205
100,0.00011279916028900072
101,0.00011279916028900072
102,0.00011279916028900072
103,0.00011279916028900072
104,0.00011279916028900072
105,0.00013302754746025183
106,0.00018519814287887206
107,0.00016867809956823274
108,0.00010696486306178097
109,0.00010696486306178097
110,0.00010696486306178097
111,0.00010696486306178097
112,0.00010696486306178097
113,0.00029509305841975863
114,0.0002356517957829862
115,0.00020460220221759436
116,0.00012387732319217506
117,0.00012387732319217506
118,0.00012387732319217506
119,0.00012387732319217506
120,0.00012387732319217506
121,0.00017815021979749056
122,0.00023552685534056976
123,0.0001718596260084042
124,0.00010945931857531444
125,0.00010945931857531444
126,0.00010945931857531444
127,0.00010945931857531444
128,0.00010945931857531444
129,5.653732566888473e-05
130,6.165971907549765e-05
131,5.673843780467532e-05
132,3.083646361265487e-05
133,3.083646361265487e-05
134,3.083646361265487e-05
135,3.083646361265487e-05
136,3.083646361265487e-05
137,0.0001334177373392952
138,0.0001637301869084683
139,0.00020727204855523228
140,0.00010727861535505163
141,0.00010727861535505163
142,0.00010727861535505163
143,0.00010727861535505163
144,0.00010727861535505163
145,0.00024398853886160914
146,0.00019483936897565448
147,0.00016916633042825263
148,0.00010242108305442696
149,0.00010242108305442696
150,0.00010242108305442696
151,0.00010242108305442696
152,0.00010242108305442696
153,8.741496926294938e-05
154,6.980385318818419e-05
155,6.864097939981305e-05
156,3.6691569100951814e-05
157,3.6691569100951814e-05
158,3.6691569100951814e-05
159,3.6691569100951814e-05
